"trackNb","sliceNb","imgNb","x","y"
1,1,1,274,181
1,2,2,274,183
1,3,3,298,188
1,4,4,288,184
1,5,5,289,168
1,6,6,304,166
1,7,7,312,185
1,8,8,310,176
1,9,9,313,198
1,10,10,315,151
1,11,11,330,167
1,12,12,299,163
1,13,13,339,207
1,14,14,333,227
1,15,15,315,183
1,16,16,304,196
1,17,17,299,215
1,18,18,303,189
1,19,19,296,197
1,20,20,284,193
1,21,21,269,196
1,22,22,276,179
1,23,23,272,201
1,24,24,246,191
2,1,1,287,213
2,2,2,248,266
2,3,3,261,281
2,4,4,277,295
2,5,5,253,271
2,6,6,256,292
2,7,7,283,272
2,8,8,272,294
2,9,9,259,249
2,10,10,302,280
2,11,11,316,307
2,12,12,337,318
2,13,13,356,305
2,14,14,371,287
2,15,15,344,299
2,16,16,324,311
2,17,17,317,299
2,18,18,292,311
2,19,19,310,314
2,20,20,321,303
2,21,21,324,330
2,22,22,338,320
2,23,23,333,305
2,24,24,327,295
