"Titre de tracé : 10488577"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 10488577, SEN S/N: 10488577, LBL: Temp)","Intensité, Lux (LGR S/N: 10488577, SEN S/N: 10488577, LBL: Light)","Coupleur attaché (LGR S/N: 10488577)","Hôte connecté (LGR S/N: 10488577)","Arrêté (LGR S/N: 10488577)","Fin de fichier (LGR S/N: 10488577)"
1,07/28/14 08:30:00 AM,28.456,10.8,,,,
2,07/28/14 08:30:10 AM,28.555,10.8,,,,
3,07/28/14 08:30:20 AM,28.754,21.5,,,,
4,07/28/14 08:30:30 AM,28.754,21.5,,,,
5,07/28/14 08:30:40 AM,28.853,21.5,,,,
6,07/28/14 08:30:50 AM,28.853,21.5,,,,
7,07/28/14 08:31:00 AM,28.853,10.8,,,,
8,07/28/14 08:31:10 AM,28.953,10.8,,,,
9,07/28/14 08:31:20 AM,28.953,10.8,,,,
10,07/28/14 08:31:30 AM,28.953,21.5,,,,
11,07/28/14 08:31:40 AM,28.953,21.5,,,,
12,07/28/14 08:31:50 AM,28.953,21.5,,,,
13,07/28/14 08:32:00 AM,28.953,21.5,,,,
14,07/28/14 08:32:10 AM,28.953,21.5,,,,
15,07/28/14 08:32:20 AM,28.953,21.5,,,,
16,07/28/14 08:32:30 AM,28.953,21.5,,,,
17,07/28/14 08:32:40 AM,28.953,21.5,,,,
18,07/28/14 08:32:50 AM,28.953,21.5,,,,
19,07/28/14 08:33:00 AM,28.953,21.5,,,,
20,07/28/14 08:33:10 AM,28.953,21.5,,,,
21,07/28/14 08:33:20 AM,28.953,10.8,,,,
22,07/28/14 08:33:30 AM,28.953,10.8,,,,
23,07/28/14 08:33:40 AM,28.953,21.5,,,,
24,07/28/14 08:33:50 AM,28.953,21.5,,,,
25,07/28/14 08:34:00 AM,28.953,21.5,,,,
26,07/28/14 08:34:10 AM,28.953,10.8,,,,
27,07/28/14 08:34:20 AM,28.853,21.5,,,,
28,07/28/14 08:34:30 AM,28.853,10.8,,,,
29,07/28/14 08:34:40 AM,28.853,10.8,,,,
30,07/28/14 08:34:50 AM,28.853,10.8,,,,
